#{"t_start": 1672838831.0494676, "env_id": null}
r,l,t
1411.0,632,8493.721959
2208.0,709,8494.499142
3418.0,2863,8496.774682
1367.0,626,8500.572582
2580.0,726,8500.841645
1821.0,642,8501.479796
1321.0,520,8502.460028
1368.0,564,8506.952093
1516.0,638,8507.511225
1961.0,659,8509.64273
2395.0,767,8509.81177
1110.0,544,8515.604144
2559.0,816,8773.220285
2590.0,817,8773.83143
1878.0,639,8774.230523
1510.0,614,8779.991887
1372.0,697,8781.433229
2342.0,775,8781.485241
2240.0,671,8781.558259
1589.0,661,8787.097571
1876.0,679,8788.874992
1867.0,727,8789.464131
1355.0,594,8793.501088
1990.0,630,9052.959157
1358.0,618,9057.537242
1534.0,594,9059.412688
1876.0,797,9066.131278
2155.0,725,9067.219536
2276.0,3043,9071.66461
1370.0,590,9072.563823
1364.0,623,9073.941149
2322.0,2800,9334.630064
1456.0,594,9335.646305
1782.0,570,9336.304461
1513.0,591,9337.871832
1354.0,531,9340.345418
950.0,453,9341.268637
1366.0,680,9343.038056
2509.0,794,9346.480872
2149.0,698,9348.819426
1914.0,1006,9351.303519
2345.0,893,9352.693849
2076.0,718,9354.285226
1772.0,572,9612.357864
1441.0,707,9616.35181
1879.0,700,9617.687126
1497.0,578,9618.649354
2881.0,865,9621.12094
1323.0,515,9621.966141
1921.0,627,9624.505269
1120.0,509,9626.568758
2570.0,805,9627.327938
933.0,454,9629.418433
2869.0,813,9630.791759
1825.0,631,9633.446388
1887.0,668,9892.914308
2563.0,801,9897.835474
2043.0,685,9899.294819
2234.0,746,9901.107249
2173.0,709,9905.537298
1796.0,619,9906.018413
1539.0,668,9908.358968
1371.0,569,9911.763773
2269.0,689,9913.543195
1391.0,582,9914.705471
2286.0,3027,10178.095426
2600.0,863,10180.207926
3682.0,1033,10180.240934
2914.0,897,10181.761798
1730.0,582,10184.449435
1728.0,587,10188.180319
2671.0,831,10189.246571
2797.0,909,10190.102774
2873.0,948,10452.658272
1915.0,619,10452.891327
1544.0,638,10454.239647
2278.0,691,10455.679988
1591.0,611,10459.419874
2150.0,710,10460.675171
2172.0,698,10461.776433
968.0,422,10463.869929
2617.0,849,10464.909175
1907.0,701,10468.313981
2164.0,772,10470.188426
1567.0,646,10470.903595
2261.0,761,10473.173133
1621.0,616,10732.884868
1365.0,599,10734.660288
1534.0,606,10737.730015
2587.0,822,10737.841042
2561.0,677,10740.384644
2191.0,675,10742.014031
1861.0,673,10744.971335
2213.0,740,10745.882551
1633.0,607,10746.938802
1387.0,585,10748.49417
1954.0,709,10752.71617
1353.0,626,10753.6814
2108.0,760,10754.132506
2111.0,710,11013.49696
2168.0,683,11017.448896
2578.0,721,11019.340345
2274.0,696,11021.097761
3000.0,953,11021.501856
1367.0,533,11023.376313
2155.0,639,11026.301007
1431.0,646,11028.120437
1364.0,636,11028.436514
2579.0,791,11031.954345
1977.0,658,11033.422693
1357.0,580,11034.318906
1912.0,636,11292.939384
1859.0,668,11296.813302
1899.0,735,11299.004821
1395.0,675,11300.22311
2118.0,616,11303.544898
1381.0,549,11306.113506
1534.0,728,11306.883688
2256.0,813,11312.332979
2293.0,688,11313.590277
1676.0,575,11576.447103
1842.0,650,11578.524595
3088.0,2957,11581.920399
2141.0,682,11583.901869
2237.0,769,11586.890577
1398.0,623,11590.656469
2988.0,951,11592.365874
2112.0,2756,11853.205755
2678.0,764,11853.767888
1384.0,597,11855.71935
1937.0,678,11860.681526
3598.0,989,11865.303621
2871.0,882,11865.994847
1736.0,665,11868.572458
2673.0,847,11874.452851
2431.0,887,11876.355834
2137.0,760,12135.110633
1477.0,598,12140.401887
1370.0,593,12141.578166
2616.0,3143,12143.875711
2184.0,660,12149.38232
2368.0,782,12149.505349
1786.0,607,12151.15774
2358.0,765,12416.193195
2239.0,764,12417.999621
2107.0,2831,12422.575705
2343.0,703,12426.395609
2299.0,715,12431.012703
1352.0,582,12432.566072
2653.0,758,12697.714616
1896.0,631,12697.953672
3454.0,2925,12698.856886
2274.0,633,12704.770329
2199.0,2776,12705.550512
2565.0,830,12707.502975
3013.0,902,12709.309403
2148.0,721,12713.30935
1736.0,683,12713.681437
2345.0,791,12716.098011
3020.0,928,12720.095271
1876.0,657,12981.434865
3156.0,905,12981.445869
1916.0,670,12984.78866
1732.0,672,12989.369745
1631.0,687,12992.913586
2725.0,800,12998.026797
2626.0,781,13259.700444
2529.0,2776,13261.110777
1397.0,571,13262.543116
1472.0,574,13265.905913
2154.0,677,13268.412507
1655.0,552,13268.559542
1366.0,3022,13273.080613
1852.0,665,13273.133625
1907.0,588,13274.66699
2328.0,685,13275.988302
2575.0,747,13281.258647
2349.0,755,13281.389679
1895.0,670,13541.477023
2987.0,783,13541.511031
1607.0,680,13546.834292
1383.0,575,13547.662488
2840.0,835,13548.692732
1779.0,582,13553.215801
2697.0,761,13556.975692
2510.0,735,13561.336725
4193.0,1479,13822.532119
2208.0,661,13822.912209
1474.0,592,13826.389033
1710.0,2883,13832.351568
2689.0,841,13832.8892
2129.0,683,13839.687811
